id|description|column
"SRL"|"ST AURELIE, ME"|"i94port"
"SPA"|"ST PAMPILE, ME"|"i94port"
"VNB"|"VAN BUREN, ME"|"i94port"
"VCB"|"VANCEBORO, ME"|"i94port"
"AGN"|"ALGONAC, MI"|"i94port"
"ALP"|"ALPENA, MI"|"i94port"
"BCY"|"BAY CITY, MI"|"i94port"
"DET"|"DETROIT, MI"|"i94port"
"GRP"|"GRAND RAPIDS, MI"|"i94port"
"GRO"|"GROSSE ISLE, MI"|"i94port"
"ISL"|"ISLE ROYALE, MI"|"i94port"
"MRC"|"MARINE CITY, MI"|"i94port"
"MRY"|"MARYSVILLE, MI"|"i94port"
"PTK"|"OAKLAND COUNTY - PONTIAC, MI"|"i94port"
"PHU"|"PORT HURON, MI"|"i94port"
"RBT"|"ROBERTS LANDING, MI"|"i94port"
"SAG"|"SAGINAW, MI"|"i94port"
"SSM"|"SAULT STE. MARIE, MI"|"i94port"
"SCL"|"ST CLAIR, MI"|"i94port"
"YIP"|"WILLOW RUN - YPSILANTI, MI"|"i94port"
"BAU"|"BAUDETTE, MN"|"i94port"
"CAR"|"CARIBOU MUNICIPAL AIRPORT, MN"|"i94port"
"GTF"|"Collapsed into INT, MN"|"i94port"
"INL"|"Collapsed into INT, MN"|"i94port"
"CRA"|"CRANE LAKE, MN"|"i94port"
"MIC"|"CRYSTAL MUNICIPAL AIRPORT, MN"|"i94port"
"DUL"|"DULUTH, MN"|"i94port"
"ELY"|"ELY, MN"|"i94port"
"GPM"|"GRAND PORTAGE, MN"|"i94port"
"SVC"|"GRANT COUNTY - SILVER CITY, MN"|"i94port"
"INT"|"INTL FALLS, MN"|"i94port"
"LAN"|"LANCASTER, MN"|"i94port"
"MSP"|"MINN./ST PAUL, MN"|"i94port"
"LIN"|"NORTHERN SVC CENTER, MN"|"i94port"
"NOY"|"NOYES, MN"|"i94port"
"PIN"|"PINE CREEK, MN"|"i94port"
"48Y"|"PINECREEK BORDER ARPT, MN"|"i94port"
"RAN"|"RAINER, MN"|"i94port"
"RST"|"ROCHESTER, MN"|"i94port"
"ROS"|"ROSEAU, MN"|"i94port"
"SPM"|"ST PAUL, MN"|"i94port"
"WSB"|"WARROAD INTL, SPB, MN"|"i94port"
"WAR"|"WARROAD, MN"|"i94port"
"KAN"|"KANSAS CITY, MO"|"i94port"
"SGF"|"SPRINGFIELD-BRANSON, MO"|"i94port"
"STL"|"ST LOUIS, MO"|"i94port"
"WHI"|"WHITETAIL, MT"|"i94port"
"WHM"|"WILD HORSE, MT"|"i94port"
"GPT"|"BILOXI REGIONAL, MS"|"i94port"
"GTR"|"GOLDEN TRIANGLE LOWNDES CNTY, MS"|"i94port"
"GUL"|"GULFPORT, MS"|"i94port"
"PAS"|"PASCAGOULA, MS"|"i94port"
"JAN"|"THOMPSON FIELD - JACKSON, MS"|"i94port"
"BIL"|"BILLINGS, MT"|"i94port"
"BTM"|"BUTTE, MT"|"i94port"
"CHF"|"CHIEF MT, MT"|"i94port"
"CTB"|"CUT BANK MUNICIPAL, MT"|"i94port"
"CUT"|"CUT BANK, MT"|"i94port"
"DLB"|"DEL BONITA, MT"|"i94port"
"EUR"|"EUREKA, MT (BPS)"|"i94port"
"BZN"|"GALLATIN FIELD - BOZEMAN, MT"|"i94port"
"FCA"|"GLACIER NATIONAL PARK, MT"|"i94port"
"GGW"|"GLASGOW, MT"|"i94port"
"GRE"|"GREAT FALLS, MT"|"i94port"
